#SampleID	Verse	Month	Plot	Sequencing_set
TVG-1-00	TVG	00	1	1
TVG-1-03	TVG	03	1	1
TVG-1-06	TVG	06	1	1
TVG-1-12	TVG	12	1	1
TVG-1-18	TVG	18	1	1
TVG-1-24	TVG	24	1	1
TVG-1-60	TVG	60	1	1
TVG-2-00	TVG	00	2	1
TVG-2-03	TVG	03	2	1
TVG-2-06	TVG	06	2	1
TVG-2-12	TVG	12	2	1
TVG-2-18	TVG	18	2	1
TVG-2-24	TVG	24	2	1
TVG-2-60	TVG	60	2	2
TVG-3-00	TVG	00	3	1
TVG-3-03	TVG	03	3	1
TVG-3-06	TVG	06	3	1
TVG-3-12	TVG	12	3	1
TVG-3-18	TVG	18	3	1
TVG-3-24	TVG	24	3	1
TVG-3-60	TVG	60	3	1
TVG-4-00	TVG	00	4	1
TVG-4-03	TVG	03	4	1
TVG-4-06	TVG	06	4	1
TVG-4-12	TVG	12	4	1
TVG-4-18	TVG	18	4	1
TVG-4-24	TVG	24	4	1
TVG-4-60	TVG	60	4	2
TVG-5-00	TVG	00	5	1
TVG-5-03	TVG	03	5	1
TVG-5-06	TVG	06	5	1
TVG-5-12	TVG	12	5	1
TVG-5-18	TVG	18	5	1
TVG-5-24	TVG	24	5	1
TVG-5-60	TVG	60	5	1
TVR-1-00	TVR	00	1	1
TVR-1-03	TVR	03	1	1
TVR-1-06	TVR	06	1	1
TVR-1-12	TVR	12	1	1
TVR-1-18	TVR	18	1	1
TVR-1-24	TVR	24	1	1
TVR-1-60	TVR	60	1	2
TVR-2-00	TVR	00	2	1
TVR-2-03	TVR	03	2	1
TVR-2-06	TVR	06	2	1
TVR-2-12	TVR	12	2	1
TVR-2-18	TVR	18	2	1
TVR-2-24	TVR	24	2	1
TVR-2-60	TVR	60	2	1
TVR-3-00	TVR	00	3	1
TVR-3-03	TVR	03	3	1
TVR-3-06	TVR	06	3	1
TVR-3-12	TVR	12	3	1
TVR-3-18	TVR	18	3	1
TVR-3-24	TVR	24	3	1
TVR-3-60	TVR	60	3	2
TVR-4-00	TVR	00	4	1
TVR-4-03	TVR	03	4	1
TVR-4-06	TVR	06	4	1
TVR-4-12	TVR	12	4	1
TVR-4-18	TVR	18	4	1
TVR-4-24	TVR	24	4	1
TVR-4-60	TVR	60	4	1
TVR-5-00	TVR	00	5	1
TVR-5-03	TVR	03	5	1
TVR-5-06	TVR	06	5	1
TVR-5-12	TVR	12	5	1
TVR-5-18	TVR	18	5	1
TVR-5-24	TVR	24	5	1
TVR-5-60	TVR	60	5	2
